index,Output,Input
0,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.","Ow! Ow! You're tugging me too hard! Come on, I got a surprise for you.  Come on, hurry up. It's the middle of the night. What are you talking about? I got a surprise for you, Morty. What, Rick? What’s going on? Morty! You gotta come on. Jus'... you gotta come with me. "
1,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty. Ow! Ow! You're tugging me too hard! Come on, I got a surprise for you.  Come on, hurry up. It's the middle of the night. What are you talking about? I got a surprise for you, Morty. What, Rick? What’s going on? "
2,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Yeah, Rick... I-it's great. Is this the surprise? What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage. We gotta go, gotta get outta here, come on. Got a surprise for you Morty. Ow! Ow! You're tugging me too hard! Come on, I got a surprise for you.  Come on, hurry up. It's the middle of the night. What are you talking about? "
3,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.","What?! A bomb?! Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb. Yeah, Rick... I-it's great. Is this the surprise? What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage. We gotta go, gotta get outta here, come on. Got a surprise for you Morty. Ow! Ow! You're tugging me too hard! "
4,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.","T-t-that's absolutely crazy! We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start. What?! A bomb?! Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb. Yeah, Rick... I-it's great. Is this the surprise? What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage. "
5,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.","Jessica? From my math class? Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica. T-t-that's absolutely crazy! We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start. What?! A bomb?! Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb. "
6,And Jessica's gonna be Eve.,"Ohh... When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam. Jessica? From my math class? Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica. T-t-that's absolutely crazy! We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start. "
7,"And so that's the surprise, Morty.","Whhhh-wha? And Jessica's gonna be Eve. Ohh... When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam. Jessica? From my math class? Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica. "
8,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity! And so that's the surprise, Morty. Whhhh-wha? And Jessica's gonna be Eve. Ohh... When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam. "
9,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","What are you talking about, Rick? I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty. No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity! And so that's the surprise, Morty. Whhhh-wha? And Jessica's gonna be Eve. "
10,"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.","I don't care about Jessica! Y-Yyyyyyyyyyou— You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty. What are you talking about, Rick? I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty. No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity! And so that's the surprise, Morty. "
11,"Get off of me, Morty!","That's it... that's it, Rick. I'm taking the wheel. You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. I don't care about Jessica! Y-Yyyyyyyyyyou— You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty. What are you talking about, Rick? I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty. "
12,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world! Get off of me, Morty! That's it... that's it, Rick. I'm taking the wheel. You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. I don't care about Jessica! Y-Yyyyyyyyyyou— You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty. "
13,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty. I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world! Get off of me, Morty! That's it... that's it, Rick. I'm taking the wheel. You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. I don't care about Jessica! Y-Yyyyyyyyyyou— "
14,"We'll park it right here, Morty. Right here on the side of the ree... road here.","Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden. Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty. I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world! Get off of me, Morty! That's it... that's it, Rick. I'm taking the wheel. You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. "
15,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.","Oh, thank god. We'll park it right here, Morty. Right here on the side of the ree... road here. Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden. Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty. I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world! Get off of me, Morty! "
16,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—","It was? You know what? That was all a test, Morty. Just an elaborate test to make you more assertive. Oh, thank god. We'll park it right here, Morty. Right here on the side of the ree... road here. Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden. Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty. "
17,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?","Dad? What? Or maybe you were out all night again with Grandpa Rick. I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something. Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it. Oh my God, his head is in his food. I'm going to puke. "
18,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die. Beth! Jerry! Damn it! What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time? Dad? "
19,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.","Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole? Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later. Oh my god, my parents are so loud, I want to die. Beth! Jerry! Damn it! "
20,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.","Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it. Uh, morning, Frank. Not my fault this is happening. Je-Jessica. Jessica. Five more minutes of this, and I'm gonna get mad. Jessica. "
21,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty.","Oh, geez, Rick. W-w-what'd you do to Frank? There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands. Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it. Uh, morning, Frank. Not my fault this is happening. Je-Jessica. Jessica. "
22,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!","I don't know, Rick. I can't leave school again. It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty. Oh, geez, Rick. W-w-what'd you do to Frank? There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands. Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it. Uh, morning, Frank. "
23,"I'll do it later, Morty. He'll be fine. Let's go.","Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him? Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on! I don't know, Rick. I can't leave school again. It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty. Oh, geez, Rick. W-w-what'd you do to Frank? There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands. "
24,"There she is. All right. Come on, Morty. Let's go.","Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS! Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home. Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way. Excuse me? Well, yeah, on horses. Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery. "
25,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.","Oh, man, Rick. What is this place? Oh, geez, okay. There she is. All right. Come on, Morty. Let's go. Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS! Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home. Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way. "
26,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—","Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing. It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty. Oh, man, Rick. What is this place? Oh, geez, okay. There she is. All right. Come on, Morty. Let's go. Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS! "
27,"HOLY CRAP, MORTY RUN!!!","All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing. It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty. Oh, man, Rick. What is this place? Oh, geez, okay. There she is. All right. Come on, Morty. Let's go. "
28,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!","HOLY CRAP, MORTY RUN!!! All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing. It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty. Oh, man, Rick. What is this place? Oh, geez, okay. "
29,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.","I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty! HOLY CRAP, MORTY RUN!!! All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing. It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty. Oh, man, Rick. What is this place? "
30,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing.","All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now? Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline. I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty! HOLY CRAP, MORTY RUN!!! All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing. "
31,"Ta-ta-ta-ta-ta-ta. Morty, you see this?","Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave. Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing. All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now? Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline. I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty! HOLY CRAP, MORTY RUN!!! "
